Btl_Cnt,Depthm,T_degC,Salnty,O2ml_L,STheta
286194,400,7.52,34.323,0.66,26.818
784127,378,6.5,34.184,0.77,26.848
727524,41,13.23,33.299,5.92,25.031
611923,125,9.11,33.479,,25.911
385398,233,12.3,34.813,0.58,26.393
262455,263,8.79,34.14,1.75,26.483
811010,0,14.65,33.387,5.98,24.805
325521,100,10.11,33.8,3.06,25.999
766062,438,6.2,34.229,0.54,26.923
385027,329,6.78,34.131,1.32,26.768
143182,400,6.8,34.216,0.68,26.834
876917,75,15.296,33.512,5.841,24.76607
643013,128,11.51,33.393,5.11,25.436
711220,514,6.03,34.23,0.55,26.946
3209,1085,3.62,34.38,0.87,27.339
19740,700,5.04,34.394,,27.197
775874,400,7.36,34.309,0.52,26.83
321153,0,14.37,33.51,5.94,24.959
678691,75,10.63,33.519,3.92,25.69
265238,192,8.9,33.94,2.76,26.307
562512,100,10.76,33.624,3.83,25.749
495759,500,6.01,34.23,,26.949
627815,125,9.38,33.821,,26.137
419033,300,9.62,34.52,,26.647
678113,150,9.4,33.676,3.73,26.02
727182,125,10.45,33.72,3.89,25.879
343963,900,4.36,34.444,0.3,27.313
68587,125,12.49,,,
606891,26,11.33,32.493,,24.765
493497,10,15.29,33.581,5.86,24.816
424840,152,10.44,33.985,3.77,26.088
740617,230,9.1,34.072,2.58,26.38
508337,30,12.75,33.49,,25.274
230465,51,16.5,33.8,,24.713
543209,30,16.09,33.582,,24.639
503788,100,9.31,33.62,4.37,25.99
417875,20,13.23,33.25,,24.993
294312,1300,3.25,34.595,0.87,27.547
244015,228,8.06,34.07,2.54,26.538
95023,150,9.36,,2.87,
124783,30,14.46,33.118,5.82,24.638
496043,0,15.7,33.64,,24.77
888097,85,11.048,33.8236,2.897,25.85505
143857,125,10.16,33.933,2.78,26.094
854909,250,9.161,34.1761,1.567,26.45635
234834,381,7.84,34.42,,26.848
503295,41,13.76,33.416,6.34,25.015
165309,250,9.59,34.484,,26.623
544600,250,8.77,34.199,,26.532
874919,250,7.593,33.9939,2.351,26.55027
